SeriesNumber,SeriesName,ViewType,ViewTemplate,TagRooms,TagDoors,TagWindows,TagWalls,TagCeilings,CreateRCP,WallFilter,DoorFilter,WindowFilter
00,Proposed GA Layouts,FloorPlan,PUBLISHED - 00 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
01,Existing Layouts,FloorPlan,PUBLISHED - 01 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
02,Demolition Layouts,FloorPlan,PUBLISHED - 02 - PLANS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
03,Site Layouts / Location Plans / Boundaries,FloorPlan,PUBLISHED - 03 - PLANS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
06,Areas,AreaPlan,PUBLISHED - 06 - AREA PLANS (NIA) 1_100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
07,Planning,FloorPlan,PUBLISHED - 07 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
08,Fire Strategy,FloorPlan,PUBLISHED - 08 - PLANS,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,AUK_Wall_,AUK_Door_,
20,Existing External Facade,FloorPlan,PUBLISHED - 20 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
21,Proposed External Facade,FloorPlan,PUBLISHED - 21 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
22,Internal Walls Partitions,FloorPlan,PUBLISHED - 22 - PLANS,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,AUK_Wall_Partition_,,
23,Floors,FloorPlan,PUBLISHED - 23 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
24,Cores,FloorPlan,PUBLISHED - 24 - PLANS,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,AUK_Wall_,,
25,Stair and Ramps,FloorPlan,PUBLISHED - 25 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
26,Lift Lobby,FloorPlan,PUBLISHED - 26 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
27,Roofs,FloorPlan,PUBLISHED - 27 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
30,Internal Walls - Blockwork / Brickwork,FloorPlan,PUBLISHED - 30 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
31,External Windows Doors Louvres,FloorPlan,PUBLISHED - 31 - PLANS,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,AUK_Door_,AUK_Window_
32,Internal Doors,FloorPlan,PUBLISHED - 32 - PLANS,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,AUK_Door_,
33,Raised Floors,FloorPlan,PUBLISHED - 33 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
35,Ceilings,CeilingPlan,PUBLISHED - 35 - RCP,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
42,Internal Wall Finishes,FloorPlan,PUBLISHED - 42 - PLANS,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,AUK_Wall_,,
70,Block Layouts,FloorPlan,PUBLISHED - 70 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
71,Circulation,FloorPlan,PUBLISHED - 71 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
72,Space planning / Furniture Layouts,FloorPlan,PUBLISHED - 72 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
73,Kitchens,FloorPlan,PUBLISHED - 73 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
74,Bathrooms / WCs,FloorPlan,PUBLISHED - 74 - PLANS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
